Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Configuration,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
100,4,"U1605, U1801, U1901, U2001",74LVC1G07,Custom_Library:74LVC1G07_Power,TO_SOT_Packages_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf,,,,,,296-8486-1-ND,,,,,,,
101,3,"U1802, U1902, U2002",LT1790-2.048,Reference_Voltage:LT1790-2.048,Package_TO_SOT_SMD:TSOT-23-6,https://www.analog.com/media/en/technical-documentation/data-sheets/1790fc.pdf,,,,,,LT1790BIS6-2.048#TRMPBFCT-ND,,,,,,,
102,3,"U1803, U1903, U2003",DAC8551,Custom_Library:DAC8551,Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm,http://www.ti.com/lit/ds/symlink/dac8551.pdf,,,,,,296-38925-1-ND,,,,,,,
103,3,"U1804, U1904, U2004",OPA2197xDGK,Custom_Library:OPA2197xDGK,Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm,http://www.ti.com/lit/ds/symlink/opa2197.pdf,,,,,,296-44774-1-ND,,,,,,,
104,1,U2101,LP5009,Custom_Library:LP5009,Housings_DFN_QFN:UQFN-20-1EP_3x3mm_Pitch0.4mm,https://www.ti.com/lit/ds/symlink/lp5009.pdf?ts=1596330853683,,,,,,296-LP5009RUKRCT-ND,,,,,,,
105,2,"U2201, U2202",AT42QT1010-TSHR,Sensor_Touch:AT42QT1010-TSHR,TO_SOT_Packages_SMD:SOT-23-6,http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-9541-AT42-QTouch-BSW-AT42QT1010_Datasheet.pdf,,,,,,AT42QT1010-TSHRCT-ND,,,,,,,
106,2,"U2203, U2204",74LVC1G17,Custom_Library:74LVC1G17_Power,TO_SOT_Packages_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf,,,,,,296-11934-1-ND,,,,,,,
107,1,U2401,LTC6900,Custom_Library:LTC6900,Package_TO_SOT_SMD:SOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/6900fa.pdf,,,,,,LTC6900CS5#TRMPBFCT-ND,,,,,,,
108,1,U2402,74LVC1G08,Custom_Library:74LVC1G08_Power,Package_TO_SOT_SMD:SOT-353_SC-70-5,http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf,,,,,,296-11602-1-ND,,,,,,,
109,1,X1101,ASE-8.000MHz,Oscillator:ASE-xxxMHz,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,http://www.abracon.com/Oscillators/ASV.pdf,,,,,,"	535-9558-1-ND",,,,,,,
110,1,X1102,ECS-327KE,Custom_Library:ECS-327KE,Custom Footprints Library:ECS-327KE,,,,,,,XC1751CT-ND,,,,,,,
